"","X.1","X","street1","accidents","lon","lat"
"738",3225,3225,"STAAKENER STR.",1,13.1737852,52.5358219
"739",3226,3226,"STADTHAUSSTR. / TÜRRSCHMIDTSTR.",1,13.48129,52.5025564
"740",3227,3227,"STAHNSDORFER DAMM",1,13.1751202,52.4184557
"741",3228,3228,"ST ALBRECHTSTR.",2,13.3841055,52.5227669
"742",3229,3229,"STARGARDER STR.",4,13.4201759,52.5456769
"743",3230,3230,"STAUFFENBERGSTR. / TIERGARTENSTR.",1,13.3643866,52.5099944
"744",3231,3231,"STEEGERSTR.",1,13.3955098,52.5613279
"745",3232,3232,"STEGLITZER DAMM",3,13.3482941,52.4498048
"746",3233,3233,"STEIFENSANDSTR.",1,13.294698,52.5084483
"747",3234,3234,"STEINHELLENWEG",1,13.3962151,52.4484928
"748",3235,3235,"STEINTRÄGERWEG / HEIDELÄUFERWEG / JOHANNISTHALER CHAUSSEE",1,13.4395077,52.4240986
"749",3236,3236,"STELLINGDAMM",1,13.5853568,52.4591328
"750",3237,3237,"STELZENWEG / JOHANNISTHALER CHAUSSEE",1,13.4760893,52.4404156
"751",3238,3238,"STENDALER STR.",3,13.603968,52.5417481
"752",3239,3239,"STEPHAN-BORN-STR. / KLAUSDORFER STR.",1,13.5945336,52.5469668
"753",3240,3240,"STERNDAMM",5,13.5057545,52.4458271
"754",3241,3241,"STERNDAMM / SÜDOSTALLEE",1,13.5085609,52.4525743
"755",3242,3242,"STERNDAMM / TRÜTZSCHLERSTR.",1,13.505682,52.445698
"756",3243,3243,"STOLLBERGER STR.",1,13.6045099,52.5323734
"757",3244,3244,"STOLZENFELSSTR. / TRESKOWALLEE",1,13.5253823,52.4816501
"758",3245,3245,"STORKOWER STR.",15,13.4571135,52.5312814
"759",3246,3246,"STORKOWER STR. / ALFRED-JUNG-STR.",1,13.4772311,52.5229625
"760",3247,3247,"STORKOWER STR. / LANDSBERGER ALLEE",3,13.45757,52.5290081
"761",3248,3248,"STORKOWER STR. / PAUL-JUNIUS-STR.",4,13.4734019,52.5229733
"762",3249,3249,"STR.",4,13.4024882,52.5196232
"763",3250,3250,"STRALAUER ALLEE",1,13.4559357,52.5001197
"764",3251,3251,"STRALAUER ALLEE / MODERSOHNSTR.",6,13.45542,52.5003887
"765",3252,3252,"STRALAUER ALLEE / WARSCHAUER PLATZ",2,13.4469403,52.5027502
"766",3253,3253,"STRALAUER PLATZ",1,13.4323795,52.5093419
"767",3254,3254,"STRALAUER STR. / WAISENSTR.",1,13.4145137,52.5158009
"768",3255,3255,"STRALSUNDER STR. / WATTSTR. / STRELITZER STR.",1,13.3919376,52.5389006
"769",3256,3256,"STRAßBURGER STR.",3,13.414567,52.5306846
"770",3257,3257,"STRAßE 45 / STRAßE 50",1,13.4776005,52.6009026
"771",3258,3258,"STRAßE 614",1,13.440295,52.4568939
"772",3259,3259,"STRAßE AM FLUGPLATZ",1,13.5100854,52.4334497
"773",3260,3260,"STRAßE DER PARISER KOMMUNE",2,13.4388501,52.5127099
"774",3261,3261,"STRAßE DER PARISER KOMMUNE / FRANZ-MEHRING-PLATZ",1,13.4387854,52.5126275
"775",3262,3262,"STRAßE DER PARISER KOMMUNE / KARL-MARX-ALLEE",17,13.4405185,52.5170817
"776",3263,3263,"STRAßE DER PARISER KOMMUNE / LANGE STR.",1,13.437497,52.5109795
"777",3264,3264,"STRAßE DER PARISER KOMMUNE / RÜDERSDORFER STR.",1,13.4397162,52.5139565
"778",3265,3265,"STRAßE DER PARISER KOMMUNE / WRIEZENER KARREE",1,13.4382124,52.5119339
"779",3266,3266,"STRAßE DES 17. JUNI",5,13.3492861,52.5141475
"780",3267,3267,"STRAßE DES 17. JUNI / BELLEVUEALLEE / KLEINER STERN",1,13.3492861,52.5141475
"781",3268,3268,"STRAßE DES 17. JUNI / ERNST-REUTER-PLATZ",2,13.3228842,52.5124038
"782",3269,3269,"STRAßE DES 17. JUNI / PLATZ DES 18. MÄRZ",1,13.3492861,52.5141475
"783",3270,3270,"STRAßE DES 17. JUNI / YITZHAK-RABIN-STR.",2,13.3698228,52.5157044
"784",3271,3271,"STRAßE VOR SCHÖNHOLZ",2,13.3802493,52.5749595
"785",3272,3272,"STRAßE ZUM FEZ / AN DER WUHLHEIDE",1,13.5544872,52.4558893
"786",3273,3273,"STRAßE ZUM LÖWEN",1,13.1605315,52.423964
"787",3274,3274,"STRAßMANNSTR.",2,13.4506269,52.5223746
"788",3275,3275,"STRAßMANNSTR. / PETERSBURGER STR.",2,13.4502513,52.5222806
"789",3276,3276,"STRAUSBERGER STR.",1,13.4275626,52.5186666
"790",3277,3277,"STRELITZER STR.",1,13.3942845,52.536381
"791",3278,3278,"STRESEMANNSTR.",4,13.3829633,52.5039216
"792",3279,3279,"STRESEMANNSTR. / POTSDAMER PLATZ",1,13.3773868,52.5083319
"793",3280,3280,"STREUSTR.",2,13.4419335,52.5503127
"794",3281,3281,"STROMSTR.",12,13.3432075,52.5274225
"795",3282,3282,"STROMSTR. / TURMSTR.",2,13.3430889,52.5263583
"796",3283,3283,"STUBENRAUCHSTR.",2,13.324143,52.4730299
"797",3284,3284,"SUAREZSTR.",1,13.2949335,52.5066491
"798",3285,3285,"SUAREZSTR. / AMTSGERICHTSPLATZ",1,13.2947265,52.5064221
"799",3286,3286,"SUAREZSTR. / WINDSCHEIDSTR.",1,13.2972488,52.5106331
"800",3287,3287,"SÜDOSTALLEE",5,13.4948744,52.4580568
"801",3288,3288,"SÜDSTERN",1,13.4067062,52.4894499
"802",3289,3289,"SÜDWESTKORSO",3,13.319903,52.4719343
"803",3290,3290,"SUERMONDTSTR.",1,13.4942737,52.5506403
"804",3291,3291,"SÜLTSTR.",1,13.404954,52.5200066
"805",3292,3292,"SUNDGAUER STR.",1,13.272111,52.4376001
"806",3293,3293,"SÜßER GRUND / DÖRPFELDSTR. / GENOSSENSCHAFTSSTR.",1,13.5472031,52.4375831
"807",3294,3294,"SWINEMÜNDER STR.",1,13.3979618,52.5422309
"808",3295,3295,"SYBELSTR. / KRACAUERPLATZ",1,13.2964343,52.5018784
"809",3296,3296,"TAMARA-DANZ-STR. / MÜHLENSTR.",1,13.445423,52.5049863
"810",3297,3297,"TASDORFER STR.",1,13.4766571,52.5083748
"811",3298,3298,"TASSOSTR.",1,13.4530342,52.5501792
"812",3299,3299,"TAUENTZIENSTR.",5,13.3390358,52.5033612
"813",3300,3300,"TAUERNALLEE",2,13.4011101,52.425936
"814",3301,3301,"TAUTENBURGER STR.",1,13.3506337,52.4202391
"815",3302,3302,"TAYLORSTR.",1,13.2690116,52.4564658
"816",3303,3303,"TE ALBRECHTSTR.",2,NA,NA
"817",3304,3304,"TEGELER STR. / TRIFTSTR.",1,13.3561337,52.5432626
"818",3305,3305,"TEICHBERGSTR. / BUCHER CHAUSSEE",1,13.4870729,52.6174655
"819",3306,3306,"TELLSTR. / SONNENALLEE",2,13.4314995,52.4857374
"820",3307,3307,"TELTOWER DAMM",10,13.2646364,52.4197809
"821",3308,3308,"TELTOWER STR.",1,13.2171674,52.5260805
"822",3309,3309,"TEMPELHOFER DAMM",11,13.3855108,52.4692748
"823",3310,3310,"TEMPELHOFER DAMM / A 100 BAB / 100 AS TEMPELHOFER D AUSF N TEMPELHOFER D NORD /",1,13.401893,52.475391
"824",3311,3311,"TEMPELHOFER DAMM / A 100 BAB / 100 AS TEMPELHOFER D AUSF N TEMPELHOFER D SÜD / 1",1,13.401893,52.475391
"825",3312,3312,"TEMPELHOFER DAMM / PLATZ DER LUFTBRÜCKE",4,13.3858341,52.4832529
"826",3313,3313,"TEMPELHOFER DAMM / THUYRING",1,13.3856276,52.4748553
"827",3314,3314,"TEMPELHOFER DAMM / VIKTORIASTR.",1,13.3840505,52.4546617
"828",3315,3315,"TEMPELHOFER UFER",2,13.3839218,52.4986711
"829",3316,3316,"TEMPELHOFER UFER / TREBBINER STR.",1,13.3782351,52.4993422
"830",3317,3317,"TEMPELHOFER WEG",2,13.3587158,52.4776869
"831",3318,3318,"TEMPLINER STR. / ZIONSKIRCHSTR.",1,13.4086845,52.5326735
"832",3319,3319,"TENNSTEDTER STR.",1,13.3487211,52.4189603
"833",3320,3320,"TEPLITZER STR.",1,13.2809988,52.4794502
"834",3321,3321,"TESSENOWSTR.",2,13.333918,52.581384
"835",3322,3322,"TETEROWER RING",1,13.5851118,52.5223051
"836",3323,3323,"TEUFELSSEECHAUSSEE",1,13.2496137,52.4979128
"837",3324,3324,"TEUFELSSEESTR.",2,13.2561494,52.5068211
"838",3325,3325,"TEUPITZER STR.",1,13.4558537,52.4817042
