"","street1","accidents"
"310","ATTILASTR. / RINGSTR.",1
"311","ATZPODIENSTR.",1
"312","AUERSTR.",1
"313","AUERSTR. / STRAßMANNSTR. / RICHARD-SORGE-STR.",1
"314","AUERSWALDSTR. / BOHNSDORFER WEG / ORTOLFSTR.",1
"315","AUGSBURGER STR.",1
"316","AUGSBURGER STR. / MARBURGER STR.",1
"317","AUGUSTASTR.",1
"318","AUGUSTASTR. / HINDENBURGDAMM / KLINGSORSTR.",1
"319","AUGUSTASTR. / MOLTKESTR.",1
"320","AUGUSTE-HAUSCHNER-STR. / POTSDAMER PLATZ",1
"321","AUGUSTE-VIKTORIA-STR.",2
"322","AUGUSTE-VIKTORIA-STR. / BERKAER STR.",1
"323","AUGUSTE-VIKTORIA-STR. / HOHENZOLLERNDAMM",1
"324","AUGUSTE-VIKTORIA-STR. / WARMBRUNNER STR.",1
"325","AUGUST-LINDEMANN-STR. / DOLZIGER STR. / ELDENAER STR. / PROSKAUER STR.",3
"326","AUGUSTSTR.",2
"327","AUGUSTSTR. / ORANIENBURGER STR.",1
"328","AUGUSTSTR. / ROSENTHALER STR.",1
"329","AUGUSTSTR. / TUCHOLSKYSTR.",2
"330","AUSF",2
"331","AXEL-SPRINGER-STR.",1
"332","AXEL-SPRINGER-STR. / BEUTHSTR.",1
"333","AXEL-SPRINGER-STR. / KOMMANDANTENSTR.",2
"334","AXEL-SPRINGER-STR. / KRAUSENSTR.",1
"335","AXEL-SPRINGER-STR. / LEIPZIGER STR.",3
"336","AXEL-SPRINGER-STR. / ZIMMERSTR.",2
"337","AXENSTR. / MALCHOWER STR.",1
"338","BABELSBERGER STR.",1
"339","BACHSTR. / STRAßE DES 17. JUNI",5
"340","BACHWITZER STR.",1
"341","BADENSCHE STR.",1
"342","BADENSCHE STR. / BUNDESALLEE",3
"343","BADENSCHE STR. / MARTIN-LUTHER-STR.",1
"344","BADERSEESTR. / WASSERSPORTALLEE",1
"345","BADSTR.",2
"346","BADSTR. / BASTIANSTR.",1
"347","BADSTR. / BÖTTGERSTR. / BEHMSTR.",4
"348","BADSTR. / BUTTMANNSTR.",1
"349","BADSTR. / EXERZIERSTR. / KOLONIESTR. / SCHWEDENSTR. / UFERSTR.",1
"350","BADSTR. / GRÜNTALER STR.",3
"351","BADSTR. / HOCHSTR.",2
"352","BADSTR. / PANKSTR. / PRINZENALLEE",2
"353","BAERWALDSTR. / BERGMANNSTR.",1
"354","BAERWALDSTR. / BLÜCHERSTR.",3
"355","BAERWALDSTR. / GNEISENAUSTR.",1
"356","BAERWALDSTR. / URBANSTR. / BAERWALDPARK",5
"357","BAERWALDSTR. / WILMSSTR. / BAERWALDPARK",1
"358","BAHNHOFSTR.",10
"359","BAHNHOFSTR. / BERLINER STR. / PASEWALKER STR. / ROSENTHALER STR.",1
"360","BAHNHOFSTR. / BRIESINGSTR. / STEINSTR. / PFARRER-LÜTKEHAUS-PLATZ",1
"361","BAHNHOFSTR. / EWESTSTR.",1
"362","BAHNHOFSTR. / FERDINAND-BUISSON-STR.",1
"363","BAHNHOFSTR. / FRIEDRICHSHAGENER STR.",3
"364","BAHNHOFSTR. / RUDELSBURGSTR.",3
"365","BAHNHOFSTR. / SCHRÄGER WEG / STRAßE 84",1
"366","BAHNHOFSTR. / SEELENBINDERSTR.",1
"367","BAHNHOFSTR. / WIELANDSTR.",1
"368","BAHRENDORFER STR. / KAULSDORFER STR. / KLEINSCHEWSKYSTR.",1
"369","BÄKESTR. / HINDENBURGDAMM / KARWENDELSTR.",1
"370","BÄKESTR. / OSTPREUßENDAMM / RITTERSTR.",1
"371","BALDERSHEIMER WEG / LICHTENRADER DAMM",1
"372","BAMBERGER STR.",1
"373","BAMBERGER STR. / GÜNTZELSTR.",1
"374","BAMIHLSTR.",1
"375","BAMIHLSTR. / CHAMISSOSTR.",1
