"","street1","accidents","lon","lat"
"280","ANZENGRUBERSTR. / KARL-MARX-STR.",2,13.4365345,52.4799777
"281","APOLLOFALTERALLEE / LINDENSTR.",2,13.5658346,52.5043367
"282","APOLLOFALTERALLEE / RAPSWEIßLINGSTR.",1,13.5632563,52.5033785
"283","ARCHENHOLDSTR. / EINBECKER STR.",1,13.5050097,52.5092366
"284","ARCOSTR.",1,13.3083829,52.5192103
"285","ARENDSWEG",1,13.5055255,52.5377787
"286","ARENDSWEG / LANDSBERGER ALLEE",2,13.5055583,52.5349895
"287","ARGENTINISCHE ALLEE",3,13.2469049,52.4478633
"288","ARGENTINISCHE ALLEE / CLAYALLEE / SAARGEMÜNDER STR.",1,13.2705524,52.4508607
"289","ARGENTINISCHE ALLEE / FISCHERHÜTTENSTR. / RAUWEILERSTEIG",1,13.255847,52.435918
"290","ARGENTINISCHE ALLEE / LINDENTHALER ALLEE / MEXIKOPLATZ",1,13.2329722,52.4368865
"291","ARGENTINISCHE ALLEE / MARSHALLSTR.",1,13.2685011,52.4510174
"292","ARGENTINISCHE ALLEE / TESCHENER WEG",1,13.2438641,52.4460988
"293","ARISTOTELESSTEIG / CÄSARSTR.",2,13.5242306,52.490876
"294","ARKONASTR. / KISSINGENSTR. / STUBNITZSTR.",1,13.4154099,52.5665453
"295","ARMBRUSTWEG / EMMENTALER STR. / REGINHARDSTR.",1,13.3659957,52.5724764
"296","ARMENISCHE STR. / UNGARNSTR.",1,13.3581117,52.5566202
"297","ARNIMALLEE",1,13.2953194,52.4560893
"298","ARNSBERGER STR.",1,13.5525345,52.4952524
"299","ARNULFSTR. / PRELLERWEG / RÖBLINGSTR.",1,13.3593871,52.4568049
"300","ARNULFSTR. / WITTEKINDSTR.",1,13.3722256,52.4556028
"301","ARTEMISSTR. / BRANDTSTR.",1,13.313246,52.6110896
"302","ASCHAFFENBURGER STR.",1,13.3364539,52.4912556
"303","ASKANIERRING",1,13.1933869,52.545947
"304","ASKANIERRING / HAVELSCHANZE / NEUENDORFER STR. / STREITSTR. / KGA KLECKERSDORF",1,NA,NA
"305","AßMANNSTR.",1,13.6222804,52.4519782
"306","ATTILASTR.",1,13.3660938,52.4492952
"307","ATTILASTR. / CHLODWIGSTR. / MARIENHÖHER WEG / PAUL-SCHMIDT-STR.",1,13.371835,52.45281
"308","ATTILASTR. / FRIEDRICH-KARL-STR.",1,13.377611,52.4562171
"309","ATTILASTR. / GERSDORFSTR. / RÖBLINGSTR.",1,13.3668362,52.4496675
"310","ATTILASTR. / RINGSTR.",1,13.3620795,52.4473156
"311","ATZPODIENSTR.",1,13.4934069,52.5150527
"312","AUERSTR.",1,13.4446258,52.5195997
"313","AUERSTR. / STRAßMANNSTR. / RICHARD-SORGE-STR.",1,13.4466022,52.5213551
"314","AUERSWALDSTR. / BOHNSDORFER WEG / ORTOLFSTR.",1,13.5394161,52.4169327
"315","AUGSBURGER STR.",1,13.3354148,52.5014831
