"","X.1","X","street1","accidents","lon","lat"
"78",2549,2549,"MICHELANGELOSTR. / HANNS-EISLER-STR.",2,NA,NA
"79",2550,2550,"MIERENDORFFPLATZ",1,NA,NA
"80",2551,2551,"MIERENDORFFSTR. / TAUROGGENER STR. / TEGELER WEG",1,NA,NA
"81",2552,2552,"MILDRED-HARNACK-STR. / MÜHLENSTR.",1,NA,NA
"82",2553,2553,"MINNA-CAUER-STR. / TUNNEL TIERGARTEN SPREEBOGEN / INVALIDENSTR. / TUNNEL TIERGAR",4,NA,NA
"83",2554,2554,"MIRBACHPLATZ / SCHÖNSTR.",1,NA,NA
"84",2555,2555,"MITTELBRUCHZEILE",1,NA,NA
"85",2556,2556,"MITTELSTR. / ALTENHOFER STR.",1,NA,NA
"86",2557,2557,"MITTELWEG / THOMASSTR.",1,NA,NA
"87",2558,2558,"MÖCKERNSTR.",1,NA,NA
"88",2559,2559,"MÖCKERNSTR. / ASKANISCHER PLATZ / STRESEMANNSTR.",2,NA,NA
"89",2560,2560,"MÖCKERNSTR. / TEMPELHOFER UFER / MÖCKERNBRÜCKE",2,NA,NA
"90",2561,2561,"MODERSOHNSTR.",2,NA,NA
"91",2562,2562,"MOHRENFALTERSTR.",1,NA,NA
"92",2563,2563,"MOHRENFALTERSTR. / KÖPENICKER STR. (ENDE)",1,NA,NA
"93",2564,2564,"MOHRENSTR.",2,NA,NA
"94",2565,2565,"MOHRINER ALLEE / AM BRANDPFUHL",1,NA,NA
"95",2566,2566,"MOLKENMARKT / MÜHLENDAMM / POSTSTR.",1,NA,NA
"96",2567,2567,"MÖLLENDORFFSTR.",2,NA,NA
"97",2568,2568,"MOLLSTR.",3,NA,NA
"98",2569,2569,"MOMMSENSTR. / SCHLÜTERSTR.",1,NA,NA
"99",2570,2570,"MONUMENTENSTR.",3,NA,NA
"100",2571,2571,"MORITZSTR.",1,NA,NA
"101",2572,2572,"MORSESTR.",1,NA,NA
"102",2573,2573,"MORUSSTR. / WERBELLINSTR.",1,NA,NA
"103",2574,2574,"MOTARDSTR. / ROHRDAMM / WOHLRABEDAMM",2,NA,NA
"104",2575,2575,"MOTZENER STR. / NAHMITZER DAMM / GUTSPARK MARIENFELDE",4,NA,NA
"105",2576,2576,"MOTZENER STR. / SPERENBERGER STR.",1,NA,NA
"106",2577,2577,"MOTZSTR.",1,NA,NA
"107",2578,2578,"MÜGGELHEIMER STR.",3,NA,NA
"108",2579,2579,"MÜGGELHEIMER STR. / WENDENSCHLOßSTR.",2,NA,NA
"109",2580,2580,"MÜGGELSCHLÖßCHENWEG / ALFRED-RANDT-STR.",1,NA,NA
"110",2581,2581,"MÜGGELSCHLÖßCHENWEG / ERWIN-BOCK-STR.",1,NA,NA
"111",2582,2582,"MÜGGELSEEDAMM",3,NA,NA
"112",2583,2583,"MÜGGELSEEDAMM / FÜRSTENWALDER DAMM",1,NA,NA
"113",2584,2584,"MÜGGELSEEDAMM / PETER-HILLE-STR.",1,NA,NA
"114",2585,2585,"MÜGGELSEEDAMM / SCHARNWEBERSTR.",1,NA,NA
"115",2586,2586,"MÜHLENSTR.",8,NA,NA
"116",2587,2587,"MÜHLENSTR. / ÖTZTALER STR.",1,NA,NA
"117",2588,2588,"MÜHLENSTR. / SUNDGAUER STR.",2,NA,NA
"118",2589,2589,"MÜHSAMSTR. / PETERSBURGER STR.",1,NA,NA
"119",2590,2590,"MULACKSTR.",1,NA,NA
"120",2591,2591,"MÜLHAUSER STR. / PRENZLAUER ALLEE",1,NA,NA
"121",2592,2592,"MÜLLERSTR.",17,NA,NA
"122",2593,2593,"MÜLLERSTR. / OSTENDER STR. / UTRECHTER STR.",1,NA,NA
"123",2594,2594,"MÜLLERSTR. / OTAWISTR. / SCHÖNINGSTR.",2,NA,NA
"124",2595,2595,"MÜLLERSTR. / SCHULZENDORFER STR. / SELLERSTR.",3,NA,NA
"125",2596,2596,"MÜLLERSTR. / SEESTR.",11,NA,NA
"126",2597,2597,"MÜNCHENER STR.",1,NA,NA
"127",2598,2598,"MÜNSTERLANDSTR. / WEITLINGSTR.",1,NA,NA
"128",2599,2599,"MÜNZSTR.",2,NA,NA
"129",2600,2600,"MUSKAUER STR. / MARIANNENPLATZ",1,NA,NA
"130",2601,2601,"MUSSEHLSTR.",2,NA,NA
"131",2602,2602,"MYSLOWITZER STR. / PLANITZSTR.",1,NA,NA
"132",2603,2603,"NACHODSTR.",1,NA,NA
"133",2604,2604,"NACHTALBENWEG / DARßER STR.",1,NA,NA
"134",2605,2605,"NALEPASTR. / RUMMELSBURGER LANDSTR.",1,NA,NA
"135",2606,2606,"NALEPASTR. / SIEMENSSTR. / WILHELMINENHOFSTR.",1,NA,NA
"136",2607,2607,"NATALISSTEIG",1,NA,NA
"137",2608,2608,"NAUENER STR. / SEEGEFELDER STR. / ZEPPELINSTR.",2,NA,NA
"138",2609,2609,"NAUMANNSTR. / WILHELM-KABUS-STR.",1,NA,NA
"139",2610,2610,"NAUNYNSTR.",4,NA,NA
"140",2611,2611,"NAUNYNSTR. / ADALBERTSTR.",3,NA,NA
"141",2612,2612,"NAVARRAPLATZ / MÜHLENSTR. / ROSENTHALER WEG / TRIFTSTR.",1,NA,NA
"142",2613,2613,"NAZARETHKIRCHSTR.",2,NA,NA
"143",2614,2614,"NEHRINGSTR.",1,NA,NA
"144",2615,2615,"NELTESTR.",1,NA,NA
"145",2616,2616,"NENNHAUSER DAMM",1,NA,NA
"146",2617,2617,"NENNHAUSER DAMM / BUSCHOWER WEG",1,NA,NA
"147",2618,2618,"NENNHAUSER DAMM / HAUPTSTR.",1,NA,NA
"148",2619,2619,"NENNHAUSER DAMM / SPANDAUER STR.",1,NA,NA
"149",2620,2620,"NEPTUNSTR. / SCHULZENDORFER STR.",1,NA,NA
"150",2621,2621,"NERTHUSWEG",1,NA,NA
"151",2622,2622,"NERU",2,NA,NA
"152",2623,2623,"NESSELWEG",1,NA,NA
"153",2624,2624,"NEUDECKER WEG / AUGUST-FROEHLICH-STR. / AN DER WERDERLAKE",1,NA,NA
"154",2625,2625,"NEUE BAHNHOFSTR.",2,NA,NA
"155",2626,2626,"NEUE BAHNHOFSTR. / SIMPLONSTR. / SONNTAGSTR.",1,NA,NA
"156",2627,2627,"NEUE GRÜNSTR.",1,NA,NA
"157",2628,2628,"NEUE GRÜNSTR. / SEYDELSTR.",1,NA,NA
"158",2629,2629,"NEUE HOCHSTR.",2,NA,NA
"159",2630,2630,"NEUE HOCHSTR. / SCHÖNWALDER STR.",2,NA,NA
"160",2631,2631,"NEUE JAKOBSTR.",1,NA,NA
"161",2632,2632,"NEUE JÜDENSTR. / JÜDENSTR. / MOLKENMARKT / STRALAUER STR.",1,NA,NA
"162",2633,2633,"NEUE KANTSTR. / WITZLEBENSTR.",2,NA,NA
"163",2634,2634,"NEUE KRUGALLEE",1,NA,NA
"164",2635,2635,"NEUE KRUGALLEE / WILLI-SÄNGER-STR. / PLÄNTERWALD",1,NA,NA
"165",2636,2636,"NEUENDORFER STR.",1,NA,NA
"166",2637,2637,"NEUENDORFER STR. / FALKENSEER PLATZ",2,NA,NA
"167",2638,2638,"NEUENDORFER STR. / HEIDETOR / ORANIENBURGER TOR",1,NA,NA
"168",2639,2639,"NEUE ROßSTR. / WALLSTR.",2,NA,NA
